,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61,0.004938650131225586,0.0002573861858119472,0.005328178405761719,0.00021197355951445328,gini,3,20,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 5}",0.75,0.6785714285714286,0.625,0.6909090909090909,0.8363636363636363,0.7161688311688312,0.0720481979192426,315
62,0.004788541793823242,0.0001907834110464501,0.005132484436035156,7.632156706521072e-05,gini,3,20,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.75,0.6785714285714286,0.625,0.6909090909090909,0.8363636363636363,0.7161688311688312,0.0720481979192426,315
63,0.00478215217590332,0.0002792582232592628,0.004991054534912109,0.00013316508986938093,gini,3,20,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 15}",0.75,0.6785714285714286,0.625,0.6909090909090909,0.8363636363636363,0.7161688311688312,0.0720481979192426,315
64,0.006166410446166992,0.0007990467467262963,0.0062882423400878905,0.0006674708970997938,gini,3,20,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 50}",0.75,0.6785714285714286,0.625,0.6909090909090909,0.8363636363636363,0.7161688311688312,0.0720481979192426,315
65,0.0058880805969238285,0.0005755086041843743,0.00610966682434082,0.0007728035757025577,gini,3,20,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 100}",0.8035714285714286,0.875,0.625,0.6909090909090909,0.8363636363636363,0.7661688311688313,0.09355549762092373,33
66,0.004859161376953125,0.0002303168590569733,0.005224943161010742,0.0002720802071628533,gini,3,25,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 2}",0.6785714285714286,0.6785714285714286,0.5892857142857143,0.6181818181818182,0.8363636363636363,0.6801948051948052,0.08544477503060299,351
67,0.004814529418945312,0.00016591525451242298,0.005283164978027344,0.00020515701369265126,gini,3,25,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 5}",0.6785714285714286,0.6785714285714286,0.5892857142857143,0.6181818181818182,0.8363636363636363,0.6801948051948052,0.08544477503060299,351
68,0.00468149185180664,0.00025006054366840687,0.005280828475952149,0.00021008817478937689,gini,3,25,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 10}",0.6785714285714286,0.6785714285714286,0.5892857142857143,0.6181818181818182,0.8363636363636363,0.6801948051948052,0.08544477503060299,351
69,0.00490875244140625,0.00012191667798014382,0.005243873596191407,0.0002961174339830834,gini,3,25,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 15}",0.6785714285714286,0.6785714285714286,0.5892857142857143,0.6181818181818182,0.8363636363636363,0.6801948051948052,0.08544477503060299,351
70,0.004818964004516602,0.00018811841720151122,0.005561351776123047,0.00012472742124806991,gini,3,25,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 50}",0.6785714285714286,0.6785714285714286,0.5892857142857143,0.6181818181818182,0.8363636363636363,0.6801948051948052,0.08544477503060299,351
71,0.004843330383300782,0.00011602689572347304,0.0051196575164794925,0.00016793339559181041,gini,3,25,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 25, 'min_samples_split': 100}",0.7321428571428571,0.875,0.5892857142857143,0.6181818181818182,0.8363636363636363,0.7301948051948053,0.11370702812149876,215
72,0.005077552795410156,0.0002136164157553497,0.005453681945800782,0.00022868806862431264,gini,4,2,2,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
73,0.00511479377746582,0.00015146062619381923,0.0053331851959228516,0.00022101579745669668,gini,4,2,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
74,0.0051249504089355465,0.00022825874512041354,0.005377674102783203,0.0002676521671776315,gini,4,2,10,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
75,0.004922151565551758,0.0002616704459999498,0.005392980575561523,0.0002528865936980378,gini,4,2,15,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 15}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
76,0.005023956298828125,0.0004456139553778438,0.005421352386474609,0.00020300584740887416,gini,4,2,50,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 50}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7636363636363637,0.8,0.7698701298701298,0.08609748071142449,21
77,0.004881095886230469,0.00016206581787907946,0.005228424072265625,0.0003039327503984103,gini,4,2,100,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 100}",0.7678571428571429,0.875,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.759090909090909,0.08618255598816817,46
78,0.004886722564697266,0.0001829714706980766,0.005110979080200195,0.0002054018331813354,gini,4,5,2,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
79,0.004860877990722656,0.00024215662299095263,0.005776548385620117,0.0002813151159303992,gini,4,5,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
80,0.00509190559387207,0.0003228935129783776,0.005383777618408203,0.00017750729317114386,gini,4,5,10,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8392857142857143,0.8392857142857143,0.6071428571428571,0.7454545454545455,0.8,0.7662337662337663,0.0866660558035134,25
